group: thresh_pba_dfs
root: dow_jones
desc: fth thresh


debug: s
                           pba_oc_return_fth_of_xact  \
1998-01-05 21:00:00+00:00                   0.000527   
1998-01-06 14:00:00+00:00                  -0.005445   
1998-01-06 15:00:00+00:00                  -0.000322   
1998-01-06 16:00:00+00:00                  -0.002669   
1998-01-06 17:00:00+00:00                  -0.000946   

                           pba_lh_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.003670   
1998-01-02 15:00:00+00:00                   0.003984   
1998-01-02 16:00:00+00:00                   0.000668   
1998-01-02 17:00:00+00:00                   0.000806   
1998-01-02 18:00:00+00:00                   0.000552   
1998-01-02 19:00:00+00:00                   0.001082   
1998-01-02 20:00:00+00:00                   0.004373   
1998-01-02 21:00:00+00:00                   0.000642   
1998-01-05 14:00:00+00:00                   0.001420   
1998-01-05 15:00:00+00:00                   0.002038   
1998-01-05 16:00:00+00:00                   0.001577   
1998-01-05 17:00:00+00:00                   0.000891   
1998-01-05 18:00:00+00:00                   0.002473   
1998-01-05 19:00:00+00:00                   0.002364   
1998-01-05 20:00:00+00:00                   0.001398   
1998-01-05 21:00:00+00:00                   0.000549   
1998-01-06 14:00:00+00:00                   0.005799   
1998-01-06 15:00:00+00:00                   0.000990   
1998-01-06 16:00:00+00:00                   0.002677   
1998-01-06 17:00:00+00:00                   0.001086   

                           pba_oa_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                  -0.000259  
1998-01-02 15:00:00+00:00                  -0.003007  
1998-01-02 16:00:00+00:00                   0.000186  
1998-01-02 17:00:00+00:00                   0.000039  
1998-01-02 18:00:00+00:00                   0.000384  
1998-01-02 19:00:00+00:00                  -0.000334  
1998-01-02 20:00:00+00:00                   0.001826  
1998-01-02 21:00:00+00:00                   0.000598  
1998-01-05 14:00:00+00:00                   0.000786  
1998-01-05 15:00:00+00:00                   0.001289  
1998-01-05 16:00:00+00:00                   0.000445  
1998-01-05 17:00:00+00:00                  -0.000215  
1998-01-05 18:00:00+00:00                  -0.001099  
1998-01-05 19:00:00+00:00                  -0.001556  
1998-01-05 20:00:00+00:00                   0.000459  
1998-01-05 21:00:00+00:00                   0.000513  
1998-01-06 14:00:00+00:00                  -0.004367  
1998-01-06 15:00:00+00:00                  -0.000158  
1998-01-06 16:00:00+00:00                  -0.001214  
1998-01-06 17:00:00+00:00                  -0.000698  




group: thresh_vol_dfs
root: dow_jones
desc: fth thresh


debug: s
                           vol_oc_return_fth_of_xact  \
id                                                     
2005-03-18 14:00:00+00:00                  -0.009151   
