group: thresh_pba_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
1998-01-02 18:00:00+00:00                  -0.821997  
1998-01-02 19:00:00+00:00                  -0.644588  
1998-01-02 20:00:00+00:00                   0.880335  
1998-01-02 21:00:00+00:00                  -1.001157  
1998-01-05 14:00:00+00:00                  -0.248065  
1998-01-05 15:00:00+00:00                   0.161930  
1998-01-05 16:00:00+00:00                  -0.429589  
1998-01-05 17:00:00+00:00                  -0.823157  
1998-01-05 18:00:00+00:00                  -0.008198  
1998-01-05 19:00:00+00:00                  -0.048616  
1998-01-05 20:00:00+00:00                   0.381220  
1998-01-05 21:00:00+00:00                  -0.960838  
1998-01-06 14:00:00+00:00                  -0.062112  
1998-01-06 15:00:00+00:00                  -0.044284  
1998-01-06 16:00:00+00:00                  -0.174610  
1998-01-06 17:00:00+00:00                  -0.572515  


root: russell_2000
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                  -0.613428   
1998-01-02 15:00:00+00:00                  -0.894381   
1998-01-02 16:00:00+00:00                   0.041322   
1998-01-02 17:00:00+00:00                   0.109993   
1998-01-02 18:00:00+00:00                   0.075610   
1998-01-02 19:00:00+00:00                  -0.238960   
1998-01-02 20:00:00+00:00                   1.014432   
1998-01-02 21:00:00+00:00                   0.143721   
1998-01-05 14:00:00+00:00                   0.080955   
1998-01-05 15:00:00+00:00                   0.422646   
1998-01-05 16:00:00+00:00                   0.347942   
1998-01-05 17:00:00+00:00                  -0.163475   
1998-01-05 18:00:00+00:00                  -0.600978   
1998-01-05 19:00:00+00:00                  -0.300599   
1998-01-05 20:00:00+00:00                   0.297630   
1998-01-05 21:00:00+00:00                   0.120744   
1998-01-06 14:00:00+00:00                  -1.364490   
1998-01-06 15:00:00+00:00                  -0.090296   
1998-01-06 16:00:00+00:00                  -0.674073   
1998-01-06 17:00:00+00:00                  -0.245485   

                           pba_oa_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                  -0.085516   
1998-01-02 15:00:00+00:00                  -0.962550   
1998-01-02 16:00:00+00:00                   0.056685   
1998-01-02 17:00:00+00:00                   0.009656   
1998-01-02 18:00:00+00:00                   0.119936   
1998-01-02 19:00:00+00:00                  -0.109194   
1998-01-02 20:00:00+00:00                   0.580083   
1998-01-02 21:00:00+00:00                   0.188290   
1998-01-05 14:00:00+00:00                   0.248135   
1998-01-05 15:00:00+00:00                   0.408723   
1998-01-05 16:00:00+00:00                   0.139304   
1998-01-05 17:00:00+00:00                  -0.071395   
1998-01-05 18:00:00+00:00                  -0.353530   
1998-01-05 19:00:00+00:00                  -0.499217   
1998-01-05 20:00:00+00:00                   0.143941   
1998-01-05 21:00:00+00:00                   0.160926   
1998-01-06 14:00:00+00:00                  -1.396636   
1998-01-06 15:00:00+00:00                  -0.053279   
1998-01-06 16:00:00+00:00                  -0.390163   
1998-01-06 17:00:00+00:00                  -0.225494   

                           pba_lh_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                  -0.010202  
1998-01-02 15:00:00+00:00                  -0.010163  
